Milliseconds,X,Y,Z,cos,headingAccuracy
43601,-0.177915,-0.501689,-0.378541,0.757205,246.0
43702,-0.178148,-0.501656,-0.378503,0.757191,246.0
43801,-0.17808,-0.501706,-0.37853,0.75716,246.0
43901,-0.17826,-0.501621,-0.378603,0.757138,246.0
44002,-0.178413,-0.501638,-0.378423,0.75718,246.0
44101,-0.178405,-0.501512,-0.378534,0.75721,246.0
44202,-0.178492,-0.501502,-0.378613,0.757156,246.0
44301,-0.178666,-0.50146,-0.378547,0.757176,246.0
44401,-0.178507,-0.50149,-0.378699,0.757118,246.0
44501,-0.178541,-0.501433,-0.378649,0.757173,246.0
44602,-0.178432,-0.501609,-0.378589,0.757112,246.0
44701,-0.178506,-0.501648,-0.378684,0.757022,246.0
44801,-0.178436,-0.501699,-0.378649,0.757022,246.0
44901,-0.178452,-0.501683,-0.378537,0.757085,246.0
45001,-0.178329,-0.501732,-0.37861,0.757045,246.0
45102,-0.178445,-0.50197,-0.378566,0.756881,246.0
45201,-0.178398,-0.501982,-0.378394,0.75697,246.0
45302,-0.178408,-0.501805,-0.378435,0.757065,246.0
45401,-0.1782,-0.502011,-0.378448,0.756971,246.0
45501,-0.177968,-0.501964,-0.378542,0.75701,246.0
45601,-0.177928,-0.501876,-0.378536,0.757081,246.0
45702,-0.178008,-0.501789,-0.378576,0.757099,246.0
45802,-0.178032,-0.501857,-0.378534,0.757069,246.0
45902,-0.177908,-0.501816,-0.378601,0.757092,246.0
46002,-0.177748,-0.501595,-0.378891,0.757132,246.0
46101,-0.177913,-0.501346,-0.378866,0.75727,246.0
