Milliseconds,Illuminance
136001,596.0
136101,596.0
136202,596.0
136307,596.0
136401,594.0
136502,594.0
136601,594.0
136701,594.0
136802,594.0
136901,596.0
137001,596.0
137102,596.0
137203,596.0
137302,594.0
137401,594.0
137501,594.0
137601,594.0
137702,594.0
137802,592.0
137901,592.0
138005,592.0
138101,592.0
138202,592.0
138301,592.0
138401,592.0
138501,595.0
138602,595.0
138701,594.0
138801,594.0
138902,595.0
139001,595.0
139101,594.0
139203,594.0
139301,594.0
139401,593.0
139502,593.0
139604,594.0
139701,594.0
139801,594.0
139901,594.0
140002,594.0
140102,594.0
140203,592.0
140302,592.0
140402,592.0
140501,592.0
140601,592.0
140702,592.0
140805,592.0
140902,592.0
141003,592.0
141101,595.0
141202,592.0
141301,592.0
141402,593.0
141501,593.0
141601,593.0
141702,593.0
141802,592.0
141902,592.0
142001,593.0
142101,592.0
142203,592.0
142301,592.0
142401,592.0
142501,592.0
142606,592.0
142703,592.0
142802,592.0
142907,592.0
143001,592.0
143101,592.0
143202,593.0
143301,593.0
143401,593.0
143501,593.0
143602,593.0
143701,593.0
143801,593.0
143902,593.0
144006,593.0
144102,593.0
144201,593.0
144301,590.0
144401,590.0
144501,593.0
144601,593.0
144702,593.0
144801,590.0
144902,590.0
145001,593.0
145101,593.0
145201,590.0
145302,590.0
145403,590.0
145501,590.0
145601,590.0
145702,590.0
145801,590.0
145901,591.0
146001,591.0
146103,590.0
146202,590.0
146301,590.0
146402,590.0
146501,590.0
146612,590.0
146701,590.0
146801,590.0
146901,590.0
147002,590.0
147102,590.0
147202,590.0
147301,590.0
147401,591.0
147501,588.0
147602,588.0
147701,588.0
147802,588.0
147901,588.0
148001,588.0
148102,591.0
148201,591.0
148306,586.0
148401,588.0
148502,588.0
148602,588.0
148702,588.0
148801,588.0
148901,588.0
149001,589.0
149101,589.0
149202,588.0
149301,588.0
149401,588.0
149501,588.0
149602,588.0
149701,588.0
149801,588.0
149901,588.0
150001,588.0
150102,588.0
150201,589.0
150301,589.0
150402,589.0
150501,589.0
150601,589.0
150701,589.0
150802,589.0
150901,589.0
151001,589.0
151101,589.0
151201,589.0
151302,589.0
151401,589.0
151502,586.0
151601,586.0
151702,589.0
151803,589.0
151903,586.0
152006,589.0
152103,589.0
152202,589.0
152306,589.0
152401,586.0
152502,586.0
152605,587.0
152701,587.0
152801,589.0
152902,589.0
153005,586.0
153105,586.0
153201,586.0
153302,586.0
153402,586.0
153502,586.0
153602,586.0
153701,586.0
153801,586.0
153903,586.0
154001,586.0
154101,586.0
154202,586.0
154301,586.0
154403,589.0
154503,589.0
154601,586.0
154702,586.0
154807,586.0
154902,586.0
155001,586.0
155101,586.0
155202,586.0
155301,586.0
155402,586.0
155501,586.0
155601,586.0
155702,586.0
155806,586.0
155903,586.0
156001,586.0
156101,586.0
156201,586.0
156302,586.0
156401,586.0
156501,586.0
156601,586.0
156702,586.0
156803,586.0
156908,586.0
157002,586.0
157101,586.0
157210,586.0
157302,586.0
157401,586.0
157503,586.0
157601,586.0
157701,586.0
157805,586.0
157903,586.0
158002,584.0
158102,584.0
158205,584.0
158307,584.0
158402,584.0
158505,584.0
158604,584.0
158701,584.0
158808,584.0
158901,584.0
159001,584.0
159101,584.0
159202,584.0
159301,585.0
159402,585.0
159501,585.0
159601,584.0
159701,584.0
159801,584.0
159902,584.0
160001,584.0
160102,584.0
160204,585.0
160302,584.0
160402,584.0
160503,584.0
160608,584.0
160701,584.0
160801,584.0
160920,584.0
161001,584.0
161101,584.0
161201,584.0
161302,584.0
161401,584.0
161501,584.0
161601,584.0
161702,584.0
161803,584.0
161901,584.0
162001,584.0
162102,584.0
162201,584.0
162309,584.0
162407,584.0
162501,584.0
162601,584.0
162702,582.0
162801,582.0
162904,582.0
163001,582.0
163101,582.0
163201,583.0
163302,583.0
163401,583.0
